"","AFFY.Mouse430.2.probe","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"223","1420798_s_at",-1.30146016792033,6.9276670206525,-14.5844478802323,2.04879041998593e-12,4.60695252714767e-10,18.6202123046751
"5480","1416006_at",1.38527257249305,12.2068247785835,14.4523748667758,2.43686053534254e-12,5.29692251698956e-10,18.4484026866546
"6146","1460258_at",-1.5282042967129,7.82019805660091,-14.4109371463817,2.57385307920944e-12,5.41422449339508e-10,18.3942028378967
"1929","1419139_at",-0.984352912801236,6.42824855884,-14.2751493042238,3.08189341517593e-12,6.10882168028535e-10,18.2155982117347
"3204","1419606_a_at",-1.33731979223929,8.47573360800648,-14.2728334678729,3.09141413049251e-12,6.10882168028535e-10,18.2125388264962
"1262","1416649_at",-1.40801547881587,8.74471177063543,-14.2228535415926,3.30454176370678e-12,6.33791671797997e-10,18.1464023027773
"6065","1417308_at",1.1553525173424,12.2376168185988,14.1596117168487,3.59640152184758e-12,6.66386992278614e-10,18.062415831219
"875","1416802_a_at",1.49915946589477,9.8182580884984,14.1301873568978,3.74124298202371e-12,6.66386992278614e-10,18.0232245350428
"3286","1421970_a_at",-1.3733085518973,7.05024138037013,-14.1223058256198,3.78106405678711e-12,6.66386992278614e-10,18.0127144039932
"3643","1441054_at",-1.28559905311288,6.73535473879179,-14.0890474325068,3.9540332200219e-12,6.78532911256916e-10,17.9683057934082
"3222","1418420_at",-1.06589825082134,6.92567353167188,-14.0009753234071,4.45312864684615e-12,7.23291183502257e-10,17.8502511401063
"6147","1427100_at",1.74251183650299,9.01299868600375,13.9874608313371,4.53534634841306e-12,7.23291183502257e-10,17.8320771199461
"6026","1453047_at",-1.14188818302796,7.22433138273931,-13.98546758005,4.54760596896067e-12,7.23291183502257e-10,17.8293953078309
"5024","1423853_at",-1.16023354819284,6.99243465158855,-13.9345719055984,4.87264081516821e-12,7.56535494183616e-10,17.7608020842596
"5300","1427425_at",-1.18641773236113,7.14353093173762,-13.8586180893491,5.40348046879702e-12,8.19444096209892e-10,17.6580211509056
"3985","1429293_at",-1.024845868695,7.06248916170232,-13.8054379801544,5.81081023212097e-12,8.6118848917411e-10,17.5857592545037
"2848","1455148_at",-1.36487285959618,7.20334174081673,-13.6940756857555,6.77099785883111e-12,9.8119282305417e-10,17.4336362783573
"3369","1450671_at",-1.26439968900645,7.15250261997649,-13.6496582126585,7.19888313929519e-12,1.00314923754354e-09,17.3726562227023
"714","1448788_at",-1.38817977682685,7.37304939429057,-13.6465180093829,7.23018159247762e-12,1.00314923754354e-09,17.368338471708
"454","1416939_at",1.3342604018177,11.3144172835513,13.4711317573188,9.22440180700525e-12,1.25317342048919e-09,17.1257872791335
"1263","1416119_at",0.89791415718252,12.2302640850907,13.3825204094506,1.04425938934959e-11,1.38971744447932e-09,17.0021894957902
"3837","1454623_at",1.4967837950807,7.99023500529551,13.3411159005508,1.10682211121133e-11,1.44351739744181e-09,16.9441927336194
"439","1421114_a_at",-1.04806757890545,6.96484775876721,-13.215562885687,1.32156601822302e-11,1.68979058918281e-09,16.7673663901769
"6285","1425913_a_at",-1.08315427543731,8.01439552536931,-13.1669678089552,1.41596498207505e-11,1.77567454771373e-09,16.6985359332704
"1906","1456326_at",1.60380171460518,9.67433754242733,13.0284903799899,1.72552855140813e-11,2.12305126108159e-09,16.5011893375574
"1870","1423882_at",1.0079654937263,9.33622243202125,12.8625537696906,2.19167235624791e-11,2.64664730279493e-09,16.2623321305766
"201","1424143_a_at",0.938781552132715,10.7179881831486,12.8082047640045,2.37148339901005e-11,2.81171695362628e-09,16.1835295050664
"240","1422920_at",-1.01623462432251,7.38685881331919,-12.7459113808035,2.59663421959571e-11,3.02368781178279e-09,16.0928589915767
