"","AFFY.Mouse430.2.probe","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"3548","1439427_at",-1.21449830167571,6.70584245753094,-19.132545707246,1.04009764266299e-14,1.44308015485220e-12,23.8162851072572
"5750","1417178_at",1.54664848925921,7.79482214562391,18.7821862527973,1.49887445680198e-14,2.03628340266786e-12,23.4455931775378
"4479","1426584_a_at",1.62145704086197,8.71695238307382,18.7463489353693,1.55648985721113e-14,2.07140211405588e-12,23.4073085610018
"3482","1418362_at",1.63182097058651,6.0288471561873,18.6775613181942,1.67365996784604e-14,2.14645155596194e-12,23.3336298886817
"3998","1422823_at",1.32146120757874,7.4939760939222,18.6747077603918,1.67871537117097e-14,2.14645155596194e-12,23.3305679158343
"3350","1429205_at",-1.61685626516403,8.3755783628074,-18.6473356353385,1.72802684865414e-14,2.16701213078339e-12,23.3011742267317
"2312","1428079_at",1.55724082319099,8.72390272177016,18.5527834707165,1.91033760704488e-14,2.35043613878106e-12,23.1993258450531
"5579","1448716_at",-4.44214922425279,11.1586298770307,-18.3719253496539,2.31730973729877e-14,2.79836607350468e-12,23.0031470513092
"5284","1418069_at",2.75344178058898,9.21896555081945,18.3224367519206,2.44378304618444e-14,2.89743804439431e-12,22.9491509959916
"389","1434430_s_at",1.12040156525952,6.21342300315202,18.1842517517369,2.8366012638493e-14,3.30312086456451e-12,22.7976551882227
"1460","1416158_at",-1.47351799729278,8.21486204313381,-18.1532022667961,2.93362162786147e-14,3.35616607636572e-12,22.7634670349776
"2049","1429523_a_at",1.6081099396868,7.32538471221165,18.0966783665767,3.11924947357116e-14,3.50700445123406e-12,22.7010892167415
"4074","1416239_at",2.0103783575509,8.39077248310046,18.0613118786832,3.24160277218879e-14,3.58279519956663e-12,22.6619676470645
"6061","1451210_at",1.31576326860016,8.60648341757939,18.0436688249867,3.30450552025163e-14,3.59144674959348e-12,22.642424661174
"264","1436115_at",-1.37455244014674,7.62139112327855,-18.023817174881,3.37681031451919e-14,3.60986558376715e-12,22.6204139794258
"695","1450567_a_at",-1.91856515128226,10.0585975495024,-17.930389589648,3.73998610921025e-14,3.87125400763167e-12,22.516521895873
"2994","1444232_at",-1.20634455320568,7.79030808934597,-17.9303727217289,3.74005524429989e-14,3.87125400763167e-12,22.5165030932899
"1459","1426557_at",1.26940289513991,6.94363405595833,17.7496692149128,4.56316537592662e-14,4.64943772131523e-12,22.3141267058728
"6390","1416831_at",1.34764400850577,7.44476652254591,17.7197272899619,4.71688496293704e-14,4.73212412974038e-12,22.2804096060024
"1597","1422557_s_at",2.72842594336835,10.3730083191247,17.6594654086891,5.04289775159342e-14,4.98253579365768e-12,22.2123898113128
"545","1418357_at",-1.82187523281145,7.82066274971896,-17.5680156513721,5.58333288035379e-14,5.43416622578911e-12,22.1087568052839
"1674","1426001_at",1.78269093430634,7.18446356924073,17.5458316072258,5.72333777321877e-14,5.48851259105288e-12,22.0835423902582
"4393","1421983_s_at",1.50403106368786,6.72225296156804,17.4421326293298,6.42815690944278e-14,6.07507408789513e-12,21.9652874297021
"4194","1416715_at",2.57539963581532,7.37167396793168,17.3993394479718,6.74492255782101e-14,6.28337714279297e-12,21.9162989694666
"3259","1417022_at",1.4102635443812,6.96816918064917,17.3246433409522,7.33752887113697e-14,6.7391585589696e-12,21.8305232844593
"1563","1438097_at",1.19867104189682,6.36438906888762,17.3115403469758,7.44696953550419e-14,6.74467893625317e-12,21.8154417832211
"5387","1418551_at",-1.75649861770522,7.82699016607955,-17.2247051376115,8.21671796973519e-14,7.30618476346204e-12,21.7152296812428
"1577","1433525_at",-1.50534985219925,7.74292149853548,-17.2110948983111,8.3447061253419e-14,7.30618476346204e-12,21.6994808962212
"6538","1438359_at",1.56219228769556,6.64547613656488,17.1974001742558,8.47559250712597e-14,7.30618476346204e-12,21.6836228517162
"2626","1417611_at",1.9209334470343,8.1002819570908,17.1933092727701,8.51510568966592e-14,7.30618476346204e-12,21.6788834812924
"4941","1438928_x_at",1.31355436152212,9.02817735286641,17.166744616903,8.77641536546018e-14,7.43259799976179e-12,21.648082829726
